replay_id,session_id,move_count,entropy_score,raw_movements
64c90316-6576-4f03-b07c-d88e9bb68a13,53acaff0-3f09-5540-8c35-162aa56bb85f,31,2.347338,"[{""x"":1367.0,""y"":54.0,""timeOffset"":0},{""x"":1471.0,""y"":150.0,""timeOffset"":-458},{""x"":1526.0,""y"":208.0,""timeOffset"":-404},{""x"":1542.0,""y"":219.0,""timeOffset"":-107},{""x"":1544.0,""y"":219.0,""timeOffset"":-422},{""x"":1545.0,""y"":219.0,""timeOffset"":-74},{""x"":1573.0,""y"":219.0,""timeOffset"":-20},{""x"":1599.0,""y"":216.0,""timeOffset"":-472},{""x"":1602.0,""y"":216.0,""timeOffset"":-252},{""x"":1628.0,""y"":212.0,""timeOffset"":-197},{""x"":1648.0,""y"":211.0,""timeOffset"":-143},{""x"":1648.0,""y"":211.0,""timeOffset"":0},{""x"":1647.0,""y"":211.0,""timeOffset"":0},{""x"":1646.0,""y"":211.0,""timeOffset"":0},{""x"":1645.0,""y"":211.0,""timeOffset"":-372},{""x"":1644.0,""y"":211.0,""timeOffset"":-418},{""x"":1643.0,""y"":211.0,""timeOffset"":0},{""x"":1602.0,""y"":234.0,""timeOffset"":-449},{""x"":1544.0,""y"":269.0,""timeOffset"":-395},{""x"":1489.0,""y"":315.0,""timeOffset"":-340},{""x"":1357.0,""y"":391.0,""timeOffset"":-286},{""x"":1206.0,""y"":457.0,""timeOffset"":-231},{""x"":1128.0,""y"":501.0,""timeOffset"":-181},{""x"":1115.0,""y"":520.0,""timeOffset"":-126},{""x"":1115.0,""y"":525.0,""timeOffset"":-197},{""x"":1116.0,""y"":527.0,""timeOffset"":-143},{""x"":1119.0,""y"":528.0,""timeOffset"":-424},{""x"":1120.0,""y"":528.0,""timeOffset"":-303},{""x"":1120.0,""y"":524.0,""timeOffset"":-243},{""x"":1119.0,""y"":520.0,""timeOffset"":-55},{""x"":1117.0,""y"":506.0,""timeOffset"":0}]"
ab505de9-4ed9-4177-905a-2359e8c76f5c,c27b87f5-a213-5f2f-a50b-5351ed9fbbec,6,0.811278,"[{""x"":778.0,""y"":623.0,""timeOffset"":-654},{""x"":776.0,""y"":601.0,""timeOffset"":-604},{""x"":776.0,""y"":598.0,""timeOffset"":-537},{""x"":772.0,""y"":586.0,""timeOffset"":-487},{""x"":770.0,""y"":579.0,""timeOffset"":-437},{""x"":770.0,""y"":579.0,""timeOffset"":-320}]"
b29fa1e3-11d6-422b-accb-27c93509b2e2,c27b87f5-a213-5f2f-a50b-5351ed9fbbec,9,2.155639,"[{""x"":754.0,""y"":635.0,""timeOffset"":0},{""x"":773.0,""y"":659.0,""timeOffset"":-451},{""x"":791.0,""y"":698.0,""timeOffset"":-401},{""x"":812.0,""y"":782.0,""timeOffset"":-351},{""x"":812.0,""y"":835.0,""timeOffset"":-285},{""x"":809.0,""y"":837.0,""timeOffset"":-174},{""x"":787.0,""y"":773.0,""timeOffset"":-124},{""x"":778.0,""y"":697.0,""timeOffset"":-74},{""x"":778.0,""y"":653.0,""timeOffset"":-18}]"
4ddedf1f-dc31-44fd-b814-fd14364e1dc5,a32dbd69-38b6-53ea-a557-06a44f8dee56,5,-0.000000,"[{""x"":442.0,""y"":439.0,""timeOffset"":0},{""x"":453.0,""y"":417.0,""timeOffset"":-448},{""x"":493.0,""y"":348.0,""timeOffset"":-398},{""x"":550.0,""y"":225.0,""timeOffset"":-347},{""x"":617.0,""y"":72.0,""timeOffset"":-295}]"
974dd352-d50d-4830-afc7-f7b6919e5f53,ae53d9b6-72bd-59b0-8c3d-4e86b72de1ee,33,2.512016,"[{""x"":719.0,""y"":572.0,""timeOffset"":0},{""x"":732.0,""y"":579.0,""timeOffset"":-456},{""x"":746.0,""y"":590.0,""timeOffset"":-257},{""x"":759.0,""y"":587.0,""timeOffset"":-206},{""x"":764.0,""y"":583.0,""timeOffset"":-156},{""x"":764.0,""y"":578.0,""timeOffset"":-106},{""x"":763.0,""y"":578.0,""timeOffset"":-464},{""x"":751.0,""y"":578.0,""timeOffset"":-400},{""x"":741.0,""y"":578.0,""timeOffset"":-350},{""x"":734.0,""y"":578.0,""timeOffset"":-300},{""x"":718.0,""y"":578.0,""timeOffset"":-249},{""x"":657.0,""y"":579.0,""timeOffset"":-183},{""x"":590.0,""y"":579.0,""timeOffset"":-133},{""x"":528.0,""y"":580.0,""timeOffset"":-83},{""x"":497.0,""y"":582.0,""timeOffset"":-33},{""x"":481.0,""y"":582.0,""timeOffset"":-484},{""x"":474.0,""y"":582.0,""timeOffset"":-434},{""x"":470.0,""y"":582.0,""timeOffset"":-384},{""x"":462.0,""y"":580.0,""timeOffset"":-334},{""x"":455.0,""y"":574.0,""timeOffset"":-284},{""x"":450.0,""y"":568.0,""timeOffset"":-234},{""x"":447.0,""y"":561.0,""timeOffset"":-184},{""x"":444.0,""y"":555.0,""timeOffset"":-134},{""x"":443.0,""y"":555.0,""timeOffset"":-29},{""x"":443.0,""y"":557.0,""timeOffset"":-137},{""x"":452.0,""y"":588.0,""timeOffset"":-83},{""x"":466.0,""y"":689.0,""timeOffset"":-17},{""x"":465.0,""y"":722.0,""timeOffset"":-467},{""x"":456.0,""y"":739.0,""timeOffset"":-417},{""x"":449.0,""y"":750.0,""timeOffset"":-367},{""x"":432.0,""y"":782.0,""timeOffset"":-317},{""x"":426.0,""y"":796.0,""timeOffset"":-200},{""x"":422.0,""y"":790.0,""timeOffset"":-149}]"
3b9eb3be-ce2b-4f3e-a060-f1da31249df6,c3b97af5-dec6-56d9-9577-6bd31380acd2,20,1.529428,"[{""x"":474.0,""y"":750.0,""timeOffset"":0},{""x"":482.0,""y"":720.0,""timeOffset"":-457},{""x"":488.0,""y"":689.0,""timeOffset"":-407},{""x"":516.0,""y"":669.0,""timeOffset"":-357},{""x"":571.0,""y"":648.0,""timeOffset"":-307},{""x"":612.0,""y"":632.0,""timeOffset"":-257},{""x"":651.0,""y"":614.0,""timeOffset"":-207},{""x"":688.0,""y"":593.0,""timeOffset"":-157},{""x"":735.0,""y"":529.0,""timeOffset"":-107},{""x"":744.0,""y"":489.0,""timeOffset"":0},{""x"":631.0,""y"":510.0,""timeOffset"":-455},{""x"":526.0,""y"":579.0,""timeOffset"":-397},{""x"":365.0,""y"":632.0,""timeOffset"":-347},{""x"":312.0,""y"":635.0,""timeOffset"":-206},{""x"":338.0,""y"":631.0,""timeOffset"":-156},{""x"":441.0,""y"":602.0,""timeOffset"":-106},{""x"":543.0,""y"":582.0,""timeOffset"":-56},{""x"":541.0,""y"":582.0,""timeOffset"":-369},{""x"":503.0,""y"":590.0,""timeOffset"":-318},{""x"":493.0,""y"":593.0,""timeOffset"":-114}]"
209a89da-b0bc-48fc-a192-71e68e093301,3fed9d29-8f7a-5867-8f51-cd9b10ddb07c,198,2.855620,"[{""x"":497.0,""y"":97.0,""timeOffset"":0},{""x"":508.0,""y"":113.0,""timeOffset"":-449},{""x"":516.0,""y"":113.0,""timeOffset"":-218},{""x"":552.0,""y"":118.0,""timeOffset"":-163},{""x"":554.0,""y"":118.0,""timeOffset"":-103},{""x"":581.0,""y"":114.0,""timeOffset"":-49},{""x"":613.0,""y"":112.0,""timeOffset"":-505},{""x"":641.0,""y"":129.0,""timeOffset"":-451},{""x"":684.0,""y"":232.0,""timeOffset"":-396},{""x"":716.0,""y"":359.0,""timeOffset"":-346},{""x"":783.0,""y"":512.0,""timeOffset"":-291},{""x"":839.0,""y"":614.0,""timeOffset"":-236},{""x"":872.0,""y"":653.0,""timeOffset"":-181},{""x"":919.0,""y"":688.0,""timeOffset"":-129},{""x"":939.0,""y"":732.0,""timeOffset"":-75},{""x"":940.0,""y"":730.0,""timeOffset"":-298},{""x"":941.0,""y"":719.0,""timeOffset"":-243},{""x"":946.0,""y"":719.0,""timeOffset"":-183},{""x"":965.0,""y"":724.0,""timeOffset"":-128},{""x"":985.0,""y"":735.0,""timeOffset"":-73},{""x"":999.0,""y"":748.0,""timeOffset"":-19},{""x"":1012.0,""y"":778.0,""timeOffset"":-465},{""x"":1015.0,""y"":807.0,""timeOffset"":-411},{""x"":1015.0,""y"":829.0,""timeOffset"":-356},{""x"":1016.0,""y"":850.0,""timeOffset"":-301},{""x"":1017.0,""y"":860.0,""timeOffset"":-248},{""x"":1017.0,""y"":869.0,""timeOffset"":-198},{""x"":1015.0,""y"":881.0,""timeOffset"":-144},{""x"":1013.0,""y"":891.0,""timeOffset"":-89},{""x"":1011.0,""y"":906.0,""timeOffset"":-34},{""x"":997.0,""y"":925.0,""timeOffset"":-481},{""x"":988.0,""y"":935.0,""timeOffset"":-410},{""x"":992.0,""y"":935.0,""timeOffset"":-236},{""x"":989.0,""y"":927.0,""timeOffset"":-171},{""x"":990.0,""y"":925.0,""timeOffset"":-116},{""x"":994.0,""y"":919.0,""timeOffset"":-64},{""x"":995.0,""y"":913.0,""timeOffset"":0},{""x"":996.0,""y"":912.0,""timeOffset"":-451},{""x"":996.0,""y"":909.0,""timeOffset"":-395},{""x"":996.0,""y"":903.0,""timeOffset"":-340},{""x"":996.0,""y"":892.0,""timeOffset"":-285},{""x"":996.0,""y"":880.0,""timeOffset"":-230},{""x"":996.0,""y"":860.0,""timeOffset"":-176},{""x"":995.0,""y"":830.0,""timeOffset"":-120},{""x"":986.0,""y"":795.0,""timeOffset"":-67},{""x"":950.0,""y"":709.0,""timeOffset"":-12},{""x"":897.0,""y"":622.0,""timeOffset"":-459},{""x"":843.0,""y"":488.0,""timeOffset"":-404},{""x"":804.0,""y"":441.0,""timeOffset"":-349},{""x"":802.0,""y"":430.0,""timeOffset"":-30},{""x"":801.0,""y"":427.0,""timeOffset"":-479},{""x"":798.0,""y"":422.0,""timeOffset"":-425},{""x"":792.0,""y"":416.0,""timeOffset"":-370},{""x"":789.0,""y"":412.0,""timeOffset"":-319},{""x"":784.0,""y"":405.0,""timeOffset"":-267},{""x"":769.0,""y"":390.0,""timeOffset"":-212},{""x"":757.0,""y"":380.0,""timeOffset"":-158},{""x"":753.0,""y"":375.0,""timeOffset"":-103},{""x"":750.0,""y"":370.0,""timeOffset"":-48},{""x"":748.0,""y"":365.0,""timeOffset"":-488},{""x"":744.0,""y"":357.0,""timeOffset"":-439},{""x"":742.0,""y"":351.0,""timeOffset"":-385},{""x"":741.0,""y"":348.0,""timeOffset"":-327},{""x"":739.0,""y"":343.0,""timeOffset"":-269},{""x"":738.0,""y"":336.0,""timeOffset"":-212},{""x"":736.0,""y"":333.0,""timeOffset"":-7},{""x"":784.0,""y"":354.0,""timeOffset"":-461},{""x"":822.0,""y"":369.0,""timeOffset"":-27},{""x"":824.0,""y"":369.0,""timeOffset"":-469},{""x"":823.0,""y"":370.0,""timeOffset"":-377},{""x"":821.0,""y"":370.0,""timeOffset"":-227},{""x"":821.0,""y"":369.0,""timeOffset"":-157},{""x"":821.0,""y"":361.0,""timeOffset"":-104},{""x"":818.0,""y"":352.0,""timeOffset"":-54},{""x"":817.0,""y"":333.0,""timeOffset"":0},{""x"":844.0,""y"":326.0,""timeOffset"":-446},{""x"":873.0,""y"":332.0,""timeOffset"":-176},{""x"":912.0,""y"":338.0,""timeOffset"":-124},{""x"":951.0,""y"":338.0,""timeOffset"":-70},{""x"":954.0,""y"":338.0,""timeOffset"":-12},{""x"":924.0,""y"":321.0,""timeOffset"":-462},{""x"":910.0,""y"":316.0,""timeOffset"":-407},{""x"":901.0,""y"":311.0,""timeOffset"":-346},{""x"":887.0,""y"":310.0,""timeOffset"":-291},{""x"":885.0,""y"":310.0,""timeOffset"":-240},{""x"":930.0,""y"":324.0,""timeOffset"":-189},{""x"":1067.0,""y"":345.0,""timeOffset"":-134},{""x"":1264.0,""y"":374.0,""timeOffset"":-79},{""x"":1362.0,""y"":383.0,""timeOffset"":-25},{""x"":1401.0,""y"":386.0,""timeOffset"":-481},{""x"":1452.0,""y"":392.0,""timeOffset"":-427},{""x"":1507.0,""y"":421.0,""timeOffset"":-372},{""x"":1557.0,""y"":463.0,""timeOffset"":-317},{""x"":1553.0,""y"":469.0,""timeOffset"":-263},{""x"":1539.0,""y"":471.0,""timeOffset"":-157},{""x"":1565.0,""y"":466.0,""timeOffset"":-105},{""x"":1571.0,""y"":382.0,""timeOffset"":-490},{""x"":1535.0,""y"":341.0,""timeOffset"":-437},{""x"":1512.0,""y"":313.0,""timeOffset"":-383},{""x"":1506.0,""y"":304.0,""timeOffset"":-306},{""x"":1495.0,""y"":297.0,""timeOffset"":-255},{""x"":1458.0,""y"":286.0,""timeOffset"":-200},{""x"":1388.0,""y"":243.0,""timeOffset"":-146},{""x"":1281.0,""y"":187.0,""timeOffset"":-91},{""x"":1199.0,""y"":131.0,""timeOffset"":-37},{""x"":1131.0,""y"":96.0,""timeOffset"":-495},{""x"":1123.0,""y"":91.0,""timeOffset"":-444},{""x"":1123.0,""y"":92.0,""timeOffset"":-355},{""x"":1120.0,""y"":107.0,""timeOffset"":-242},{""x"":1074.0,""y"":7.0,""timeOffset"":-192},{""x"":1138.0,""y"":82.0,""timeOffset"":-78},{""x"":1075.0,""y"":94.0,""timeOffset"":-25},{""x"":949.0,""y"":101.0,""timeOffset"":-474},{""x"":938.0,""y"":101.0,""timeOffset"":-365},{""x"":939.0,""y"":100.0,""timeOffset"":-230},{""x"":970.0,""y"":85.0,""timeOffset"":-177},{""x"":1006.0,""y"":74.0,""timeOffset"":-122},{""x"":1075.0,""y"":53.0,""timeOffset"":-67},{""x"":1105.0,""y"":48.0,""timeOffset"":-13},{""x"":1134.0,""y"":38.0,""timeOffset"":-465},{""x"":1146.0,""y"":33.0,""timeOffset"":-411},{""x"":1147.0,""y"":33.0,""timeOffset"":-198},{""x"":1191.0,""y"":71.0,""timeOffset"":-143},{""x"":1228.0,""y"":77.0,""timeOffset"":-358},{""x"":1220.0,""y"":92.0,""timeOffset"":-305},{""x"":1185.0,""y"":136.0,""timeOffset"":-250},{""x"":1143.0,""y"":183.0,""timeOffset"":-196},{""x"":1107.0,""y"":202.0,""timeOffset"":-141},{""x"":1078.0,""y"":211.0,""timeOffset"":-87},{""x"":1047.0,""y"":215.0,""timeOffset"":-32},{""x"":999.0,""y"":217.0,""timeOffset"":-477},{""x"":940.0,""y"":203.0,""timeOffset"":-423},{""x"":927.0,""y"":200.0,""timeOffset"":-191},{""x"":914.0,""y"":196.0,""timeOffset"":-128},{""x"":905.0,""y"":189.0,""timeOffset"":-77},{""x"":892.0,""y"":187.0,""timeOffset"":-27},{""x"":888.0,""y"":187.0,""timeOffset"":-467},{""x"":884.0,""y"":186.0,""timeOffset"":-340},{""x"":883.0,""y"":186.0,""timeOffset"":-177},{""x"":879.0,""y"":185.0,""timeOffset"":-127},{""x"":874.0,""y"":184.0,""timeOffset"":-77},{""x"":870.0,""y"":182.0,""timeOffset"":-21},{""x"":868.0,""y"":182.0,""timeOffset"":-472},{""x"":867.0,""y"":181.0,""timeOffset"":-418},{""x"":865.0,""y"":181.0,""timeOffset"":-362},{""x"":863.0,""y"":180.0,""timeOffset"":-297},{""x"":862.0,""y"":180.0,""timeOffset"":-136},{""x"":858.0,""y"":177.0,""timeOffset"":-68},{""x"":855.0,""y"":177.0,""timeOffset"":-350},{""x"":851.0,""y"":176.0,""timeOffset"":-287},{""x"":849.0,""y"":174.0,""timeOffset"":-203},{""x"":846.0,""y"":174.0,""timeOffset"":-137},{""x"":843.0,""y"":173.0,""timeOffset"":-85},{""x"":839.0,""y"":173.0,""timeOffset"":-24},{""x"":836.0,""y"":172.0,""timeOffset"":-467},{""x"":831.0,""y"":171.0,""timeOffset"":-416},{""x"":826.0,""y"":170.0,""timeOffset"":-364},{""x"":819.0,""y"":169.0,""timeOffset"":-313},{""x"":806.0,""y"":168.0,""timeOffset"":-259},{""x"":791.0,""y"":168.0,""timeOffset"":-204},{""x"":773.0,""y"":167.0,""timeOffset"":-150},{""x"":765.0,""y"":166.0,""timeOffset"":-95},{""x"":758.0,""y"":166.0,""timeOffset"":-40},{""x"":752.0,""y"":166.0,""timeOffset"":-471},{""x"":748.0,""y"":166.0,""timeOffset"":-421},{""x"":744.0,""y"":166.0,""timeOffset"":-364},{""x"":740.0,""y"":166.0,""timeOffset"":-309},{""x"":736.0,""y"":166.0,""timeOffset"":-242},{""x"":732.0,""y"":166.0,""timeOffset"":-182},{""x"":728.0,""y"":166.0,""timeOffset"":-122},{""x"":723.0,""y"":166.0,""timeOffset"":-67},{""x"":709.0,""y"":165.0,""timeOffset"":-13},{""x"":697.0,""y"":165.0,""timeOffset"":-459},{""x"":688.0,""y"":165.0,""timeOffset"":-409},{""x"":681.0,""y"":165.0,""timeOffset"":-357},{""x"":674.0,""y"":165.0,""timeOffset"":-305},{""x"":661.0,""y"":167.0,""timeOffset"":-253},{""x"":651.0,""y"":169.0,""timeOffset"":-203},{""x"":645.0,""y"":172.0,""timeOffset"":-149},{""x"":641.0,""y"":177.0,""timeOffset"":-95},{""x"":634.0,""y"":183.0,""timeOffset"":-41},{""x"":628.0,""y"":189.0,""timeOffset"":-489},{""x"":619.0,""y"":196.0,""timeOffset"":-434},{""x"":612.0,""y"":203.0,""timeOffset"":-377},{""x"":611.0,""y"":217.0,""timeOffset"":-325},{""x"":637.0,""y"":245.0,""timeOffset"":-271},{""x"":714.0,""y"":295.0,""timeOffset"":-216},{""x"":760.0,""y"":323.0,""timeOffset"":-161},{""x"":781.0,""y"":339.0,""timeOffset"":-107},{""x"":799.0,""y"":351.0,""timeOffset"":-52},{""x"":801.0,""y"":351.0,""timeOffset"":-502},{""x"":803.0,""y"":352.0,""timeOffset"":-447},{""x"":817.0,""y"":357.0,""timeOffset"":-394},{""x"":833.0,""y"":360.0,""timeOffset"":-339},{""x"":839.0,""y"":361.0,""timeOffset"":-276},{""x"":839.0,""y"":360.0,""timeOffset"":-55},{""x"":847.0,""y"":356.0,""timeOffset"":0},{""x"":851.0,""y"":354.0,""timeOffset"":-452}]"
10326e10-58d5-4627-82cc-bbe9bb90fdd0,ae53d9b6-72bd-59b0-8c3d-4e86b72de1ee,32,1.950344,"[{""x"":657.0,""y"":6.0,""timeOffset"":0},{""x"":632.0,""y"":2.0,""timeOffset"":0},{""x"":628.0,""y"":28.0,""timeOffset"":-450},{""x"":627.0,""y"":43.0,""timeOffset"":-401},{""x"":627.0,""y"":47.0,""timeOffset"":-263},{""x"":649.0,""y"":51.0,""timeOffset"":-200},{""x"":791.0,""y"":43.0,""timeOffset"":-150},{""x"":988.0,""y"":13.0,""timeOffset"":-100},{""x"":1177.0,""y"":21.0,""timeOffset"":0},{""x"":952.0,""y"":248.0,""timeOffset"":-450},{""x"":670.0,""y"":468.0,""timeOffset"":-400},{""x"":472.0,""y"":588.0,""timeOffset"":-350},{""x"":408.0,""y"":627.0,""timeOffset"":-300},{""x"":362.0,""y"":653.0,""timeOffset"":-250},{""x"":329.0,""y"":666.0,""timeOffset"":-200},{""x"":305.0,""y"":675.0,""timeOffset"":-150},{""x"":300.0,""y"":677.0,""timeOffset"":-100},{""x"":293.0,""y"":678.0,""timeOffset"":-50},{""x"":286.0,""y"":680.0,""timeOffset"":0},{""x"":286.0,""y"":677.0,""timeOffset"":-227},{""x"":363.0,""y"":612.0,""timeOffset"":-167},{""x"":580.0,""y"":454.0,""timeOffset"":-116},{""x"":751.0,""y"":336.0,""timeOffset"":-66},{""x"":743.0,""y"":336.0,""timeOffset"":-12},{""x"":550.0,""y"":441.0,""timeOffset"":-458},{""x"":369.0,""y"":577.0,""timeOffset"":-408},{""x"":322.0,""y"":628.0,""timeOffset"":-358},{""x"":312.0,""y"":645.0,""timeOffset"":-307},{""x"":301.0,""y"":652.0,""timeOffset"":-257},{""x"":276.0,""y"":659.0,""timeOffset"":-191},{""x"":260.0,""y"":662.0,""timeOffset"":-141},{""x"":251.0,""y"":663.0,""timeOffset"":-91}]"
03ee87b3-dd3b-4752-97c8-3fe286f589b7,44d1b2d9-8282-56c6-b2b1-4f5283658dde,15,1.413800,"[{""x"":834.0,""y"":686.0,""timeOffset"":0},{""x"":838.0,""y"":684.0,""timeOffset"":-454},{""x"":840.0,""y"":684.0,""timeOffset"":-351},{""x"":845.0,""y"":683.0,""timeOffset"":-280},{""x"":849.0,""y"":683.0,""timeOffset"":-216},{""x"":865.0,""y"":677.0,""timeOffset"":-166},{""x"":907.0,""y"":670.0,""timeOffset"":-103},{""x"":953.0,""y"":664.0,""timeOffset"":-38},{""x"":955.0,""y"":664.0,""timeOffset"":-257},{""x"":957.0,""y"":663.0,""timeOffset"":-421},{""x"":960.0,""y"":660.0,""timeOffset"":-20},{""x"":969.0,""y"":651.0,""timeOffset"":-471},{""x"":981.0,""y"":628.0,""timeOffset"":-421},{""x"":985.0,""y"":598.0,""timeOffset"":-354},{""x"":985.0,""y"":594.0,""timeOffset"":0}]"
7f261930-4f1b-4a28-b613-c712e8f6bb81,a9de8327-be21-5894-a118-aa9b03ebd1df,20,2.394281,"[{""x"":872.0,""y"":313.0,""timeOffset"":0},{""x"":881.0,""y"":321.0,""timeOffset"":-450},{""x"":879.0,""y"":342.0,""timeOffset"":-399},{""x"":877.0,""y"":342.0,""timeOffset"":-13},{""x"":617.0,""y"":377.0,""timeOffset"":-455},{""x"":377.0,""y"":370.0,""timeOffset"":-405},{""x"":337.0,""y"":366.0,""timeOffset"":-306},{""x"":204.0,""y"":370.0,""timeOffset"":-256},{""x"":203.0,""y"":370.0,""timeOffset"":-350},{""x"":178.0,""y"":400.0,""timeOffset"":-289},{""x"":191.0,""y"":408.0,""timeOffset"":-238},{""x"":192.0,""y"":402.0,""timeOffset"":-172},{""x"":192.0,""y"":407.0,""timeOffset"":0},{""x"":192.0,""y"":410.0,""timeOffset"":-386},{""x"":210.0,""y"":425.0,""timeOffset"":-333},{""x"":218.0,""y"":432.0,""timeOffset"":0},{""x"":216.0,""y"":416.0,""timeOffset"":-455},{""x"":213.0,""y"":407.0,""timeOffset"":-372},{""x"":214.0,""y"":407.0,""timeOffset"":-119},{""x"":214.0,""y"":418.0,""timeOffset"":-60}]"
